regime,file,generation,epistasis_class,column,slope,intercept,r,r2,p_value,n_points
mig0,sim_mig0_rep0029.tsv,3,DDE,DDE_1,2.3607849738737343,36.91801105217737,0.41923782506770824,0.17576035396750234,0.06576921379203103,20
mig0,sim_mig0_rep0029.tsv,3,DDE,DDE_2,0.6963927073168923,46.806038910730074,0.16965744101862384,0.028783647292987827,0.4745554270005544,20
mig0,sim_mig0_rep0029.tsv,3,PO,PO_1,2.187317991383102,58.506258165566685,0.3937095064796953,0.15500717549248524,0.08588525068041145,20
mig0,sim_mig0_rep0029.tsv,3,PO,PO_2,2.5654696725180766,46.16974049761626,0.6048071243827398,0.36579165770411887,0.004727191900791136,20
mig0,sim_mig0_rep0029.tsv,3,NE,NE_1,0.07966208572089724,39.640266915494735,0.013444874332859865,0.00018076464582639402,0.9551363124790087,20
mig0,sim_mig0_rep0029.tsv,3,NE,NE_2,-2.6542832035728665,59.29579702134767,-0.5602288457971286,0.3138563596631829,0.010196332989473601,20
mig0,sim_mig0_rep0029.tsv,4,RE,RE_1,0.06440807532314907,72.80702619282343,0.01258604547708887,0.0001584085407513492,0.9579996024959,20
mig0,sim_mig0_rep0029.tsv,4,RE,RE_2,4.09269948475124,38.62798659952249,0.6572792359219352,0.4320159939741229,0.0016381498265962229,20
mig0,sim_mig0_rep0029.tsv,4,DE,DE_1,3.985847415222654,28.456895645439694,0.46552194531355023,0.21671068156851206,0.03859397415901415,20
mig0,sim_mig0_rep0029.tsv,4,DE,DE_2,0.10401165004790643,62.41884235619492,0.018332467406096283,0.0003360793611955826,0.9388524107349578,20
mig0,sim_mig0_rep0029.tsv,4,DI,DI_1,0.6143774081128935,43.30824979461251,0.132564113082847,0.017573244077441843,0.5774314588853058,20
mig0,sim_mig0_rep0029.tsv,4,DI,DI_2,-0.1148079459828752,44.088569742419,-0.014943503281116727,0.0002233082903127464,0.9501412498237216,20
mig0,sim_mig0_rep0029.tsv,4,DRE,DRE_1,0.9094324697659625,52.02653109215237,0.17998060902588683,0.03239301962532914,0.447670790301252,20
mig0,sim_mig0_rep0029.tsv,4,DRE,DRE_2,3.346998999341811,33.27340571402698,0.6344563141103972,0.4025348145145509,0.0026584547771901267,20
mig0,sim_mig0_rep0029.tsv,4,DDE,DDE_1,0.7092008714572416,57.6876426675795,0.0926691500065308,0.008587571362932906,0.6975852753801608,20
mig0,sim_mig0_rep0029.tsv,4,DDE,DDE_2,1.7118213402802975,51.710068023615406,0.3315191098656142,0.10990492020608919,0.1533238942456571,20
mig0,sim_mig0_rep0029.tsv,4,PO,PO_1,3.675149360431907,49.68258779503689,0.45053915030870784,0.20298552596089242,0.04620240682226737,20
mig0,sim_mig0_rep0029.tsv,4,PO,PO_2,3.51691831723437,37.61190115079321,0.6467451356025614,0.41827927042557556,0.0020581850095440168,20
mig0,sim_mig0_rep0029.tsv,4,NE,NE_1,-4.006994017513255,61.73429855514522,-0.7181179097109306,0.5156933322475963,0.0003627261083044252,20
mig0,sim_mig0_rep0029.tsv,4,NE,NE_2,-1.9848044859744463,49.03351241644079,-0.3665716375698661,0.13437476547065327,0.11189854659252356,20
mig0,sim_mig0_rep0029.tsv,5,RE,RE_1,2.5458947661923816,45.86921059240363,0.46496629060088024,0.2161936513951422,0.03885753283809883,20
mig0,sim_mig0_rep0029.tsv,5,RE,RE_2,3.0319309575422713,35.29403037460294,0.4975906012537515,0.24759640645606992,0.025585246687727912,20
mig0,sim_mig0_rep0029.tsv,5,DE,DE_1,3.3184090600633307,30.939036403935205,0.62172218870956,0.3865384799338057,0.0034277294730357196,20
mig0,sim_mig0_rep0029.tsv,5,DE,DE_2,-0.17018280160791024,64.54429476328504,-0.03966965247730932,0.0015736813276704931,0.8681179698927355,20
mig0,sim_mig0_rep0029.tsv,5,DI,DI_1,-3.086055865437342,56.78821254803637,-0.5693226767548794,0.32412831026734085,0.00879089651495557,20
mig0,sim_mig0_rep0029.tsv,5,DI,DI_2,-1.6987068024002547,48.83281824403022,-0.32252137079257026,0.10402003461791859,0.16547833786937963,20
mig0,sim_mig0_rep0029.tsv,5,DRE,DRE_1,2.869024780359935,42.58312182984189,0.45647789506980313,0.2083720686873582,0.04305984559455478,20
mig0,sim_mig0_rep0029.tsv,5,DRE,DRE_2,3.0244195583237024,38.61089313557349,0.585313469116518,0.34259185712921314,0.0067037795092942925,20
mig0,sim_mig0_rep0029.tsv,5,DDE,DDE_1,3.0176925325767296,33.447229724384755,0.65150599220138,0.4244600578743046,0.0018583918938033372,20
mig0,sim_mig0_rep0029.tsv,5,DDE,DDE_2,0.09160726032000033,58.610914550074966,0.016574015094488324,0.0002746979763523268,0.9447086489809547,20
mig0,sim_mig0_rep0029.tsv,5,PO,PO_1,1.7016660901142566,53.05702658693806,0.23906592992049466,0.05715251884875087,0.3100525891160545,20
mig0,sim_mig0_rep0029.tsv,5,PO,PO_2,1.9479529984059782,49.17080455793317,0.3961434439285792,0.15692962816759537,0.08379241120948876,20
mig0,sim_mig0_rep0029.tsv,5,NE,NE_1,-1.4414721931614936,52.44081462913758,-0.40218089231117293,0.16174947014021127,0.07876407490816345,20
mig0,sim_mig0_rep0029.tsv,5,NE,NE_2,-2.223872192518929,50.73076734919738,-0.3908452611795976,0.15276001818654789,0.08839720319486068,20
mig0,sim_mig0_rep0029.tsv,6,RE,RE_1,0.26735472812842154,63.63547727954479,0.057021708040267516,0.003251475187829509,0.8112740754006436,20
mig0,sim_mig0_rep0029.tsv,6,RE,RE_2,2.3723316361479645,40.17655548219968,0.4782174442765741,0.22869192401041824,0.0329412006866233,20
mig0,sim_mig0_rep0029.tsv,6,DE,DE_1,1.2049942418239825,53.945562262460925,0.323594026713972,0.10471309412496284,0.16399564325996638,20
mig0,sim_mig0_rep0029.tsv,6,DE,DE_2,2.162786237606417,37.18754289900784,0.4357470699030813,0.18987550892912083,0.05479633194764029,20
mig0,sim_mig0_rep0029.tsv,6,DI,DI_1,-1.7435131568118682,58.32092550939936,-0.35429175030746024,0.12552264433592375,0.1253666368357239,20
mig0,sim_mig0_rep0029.tsv,6,DI,DI_2,1.9421809921180042,29.396230195245852,0.28507300978639144,0.08126662090867202,0.22311991631829464,20
mig0,sim_mig0_rep0029.tsv,6,DRE,DRE_1,3.2842752243385087,39.69408452022866,0.5994799617243142,0.3593762245089852,0.005211984434264181,20
mig0,sim_mig0_rep0029.tsv,6,DRE,DRE_2,2.3129097441317206,33.246115212460126,0.4556075348919853,0.2075782258503516,0.0435097897314718,20
mig0,sim_mig0_rep0029.tsv,6,DDE,DDE_1,-1.644661695121542,73.58522562908239,-0.3860780480542486,0.1490562591893787,0.09269736017602159,20
mig0,sim_mig0_rep0029.tsv,6,DDE,DDE_2,-0.5208057310643585,59.23517379148565,-0.10783799935071137,0.011629034103964025,0.6508821663041081,20
mig0,sim_mig0_rep0029.tsv,6,PO,PO_1,1.704423538632222,57.02819458541623,0.3208727744583132,0.10295933738857553,0.1677750542294009,20
mig0,sim_mig0_rep0029.tsv,6,PO,PO_2,2.1341090715383277,50.43512826063033,0.4811545343386692,0.23150968591466162,0.03173072578890229,20
mig0,sim_mig0_rep0029.tsv,6,NE,NE_1,1.219732184135302,33.06430956297744,0.13813674087160865,0.01908175917862996,0.5613856623941789,20
mig0,sim_mig0_rep0029.tsv,6,NE,NE_2,-0.5995534789262363,46.14015303083755,-0.12694047751883325,0.01611388483270941,0.5938209917969121,20
mig0,sim_mig0_rep0029.tsv,7,RE,RE_1,3.669948307817888,27.14703380062263,0.5874902771249436,0.34514482571634303,0.006454138958360953,20
mig0,sim_mig0_rep0029.tsv,7,RE,RE_2,2.6762982637668467,47.93335458302611,0.5311869565945632,0.28215958285619436,0.01595055282174011,20
mig0,sim_mig0_rep0029.tsv,7,DE,DE_1,-1.0244712340719992,64.50594226969352,-0.2770360000299599,0.07674894531259993,0.23701159428134908,20
